Mes;Laborable;Sÿbados;Feriados
18-ene;251,595;194,234;82,150
18-feb;260,374;169,070;83,443
18-mar;277,487;222,283;91,326
18-abr;279,776;217,594;95,591
18-may;274,325;197,867;92,049
18-jun;274,945;220,230;91,271
18-jul;275,101;222,102;99,670
18-ago;281,305;219,871;99,340
18-sep;279,479;226,506;106,947
18-oct;292,999;230,847;102,343
18-nov;297,573;185,715;105,065
18-dic;291,330;258,191;127,701
19-ene;289,015;206,170;74,167
19-feb;277,373;196,466;96,085
19-mar;287,074;201,563;96,970
19-abr;300,678;287,122;95,964
19-may;364,789;287,122;151,369
19-jun;344,321;289,491;144,088
19-jul;338,400;272,836;133,622
19-ago;332,211;272,064;139,337
19-sep;323,043;272,064;123,989
19-oct;311,597;236,969;107,176
19-nov;314,026;235,151;109,614
19-dic;301,764;249,477;131,199
20-ene;280,382;202,290;92,473
20-feb;283,113;200,686;81,761
20-mar;161,011;91,477;52,837
20-abr;28,378;19,875;5,274
20-may;38,146;25,197;11,621
20-jun;58,066;36,944;0
20-jul;62,508;36,667;0
20-ago;78,640;48,392;0
20-sep;105,191;70,910;0
20-oct;135,064;110,985;36,965
20-nov;141,388;103,077;57,032
20-dic;151,303;126,114;60,898
21-ene;96,034;0;0
21-feb;152,759;0;55,004
21-mar;161,320;125,263;58,893
21-abr;161,691;119,759;57,263
21-may;159,823;133,642;71,095
21-jun;160,534;127,080;59,483
21-jul;162,477;130,906;56,753
21-ago;168,251;143,388;66,250
21-sep;173,303;137,604;65,564
21-oct;181,450;148,188;73,795
21-nov;190,096;131,223;72,584
21-dic;208,637;168,707;79,236
22-ene;166,695;112,515;64,187
22-feb;182,531;132,514;70,321
22-mar;207,095;158,502;76,036
22-abr;223,093;153,801;74,734
22-may;228,425;168,857;83,571
22-jun;236,002;175,666;83,954
22-jul;227,641;177,031;87,084
22-ago;238,883;182,282;90,483
22-sep;249,899;180,537;89,364
22-oct;255,125;187,269;94,639
22-nov;247,770;168,394;87,669
22-dic;263,811;187,355;107,211
23-ene;230,543;171,157;79,479
23-feb;235,532;151,652;82,415
23-mar;254,686;187,694;94,977
23-abr;264,072;176,307;84,154
23-may;260,142;180,382;85,891
23-jun;260,636;189,721;92,116
23-jul;252,469;192,369;96,588
23-ago;258,563;194,282;95,718
23-sep;274,752;197,706;96,784
23-oct;264,628;195,925;103,697
23-nov;250,423;165,793;96,791
23-dic;285,841;220,791;116,336
